statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2024;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;81962506;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2024;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;30974745;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2023;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;80710519;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2023;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;30002066;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2022;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;76066974;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2022;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;27124727;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2021;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;54124668;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2021;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;16903489;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2020;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;59962427;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2020;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;19832155;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2020;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;52911199;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2020;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;16946269;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2021;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;60969813;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2021;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;19550823;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2024;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;102748512;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2024;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;40616283;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2022;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;92267961;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2022;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;34214020;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2023;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;100256339;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2023;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;38856921;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2014;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;16568956;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2014;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;7917982;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2019;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;100911480;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2019;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;40010919;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2014;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;68653327;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2014;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;24543588;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2019;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;20899137;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2019;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;10070099;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2014;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;85222283;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2014;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;32461570;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2017;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;19126297;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2017;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;9379696;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2016;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;90811678;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2016;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;35402639;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2018;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;20490203;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2018;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;9933955;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2015;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;88128741;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2015;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;34208802;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2015;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;17557538;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2015;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;8527422;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2018;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;98700118;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2018;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;39117241;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2016;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;17504633;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2016;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;8535388;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2017;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;94368996;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2017;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;37278748;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2024;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;20786006;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2024;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;9641538;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2023;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;19545820;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2023;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;8854855;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2022;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;16200987;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2022;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;7089293;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2021;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;6845145;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2021;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;2647334;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2020;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;7051228;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2020;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;2885886;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2019;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;80012343;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2019;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;29940820;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2018;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;78209915;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2018;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;29183286;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2017;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;75242699;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2017;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;27899052;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2016;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;73307045;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2016;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;26867251;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2015;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;70571203;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2015;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;25681380;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
